id,text,file,node,lineNumber
Example-Start-0,"A: Hey, I'm a character in a script!",Example,Start,6
Example-Start-1,B: And I am too! You are talking to me!,Example,Start,7
Example-Start-2,What's going on,Example,Start,8
Example-Start-3,Um ok,Example,Start,11
Example-Start-4,A: Why this is a demo of the script system!,Example,Start,9
Example-Start-5,B: And you're in it!,Example,Start,10
Example-Start-6,A: How delightful!,Example,Start,12
Example-Start-7,B: What would you prefer to do next?,Example,Start,13
Example-Start-8,Leave,Example,Start,14
Example-Start-9,Learn more,Example,Start,16
Example-Leave-10,"A: Oh, goodbye!",Example,Leave,24
Example-Leave-11,B: You'll be back soon!,Example,Leave,25
line:LearnMore,"A: HAHAHA
",Example,LearnMore,32
