id,text,file,node,lineNumber
line:/Users/kalexmills/repos/personal/yarn/testdata/Indentation.yarn-Start-0,zero indent if with equal line,/Users/kalexmills/repos/personal/yarn/testdata/Indentation.yarn,Start,7
line:/Users/kalexmills/repos/personal/yarn/testdata/Indentation.yarn-Start-1,zero indent if with one indent line,/Users/kalexmills/repos/personal/yarn/testdata/Indentation.yarn,Start,12
line:/Users/kalexmills/repos/personal/yarn/testdata/Indentation.yarn-Start-2,zero indent if with two indent line,/Users/kalexmills/repos/personal/yarn/testdata/Indentation.yarn,Start,17
line:/Users/kalexmills/repos/personal/yarn/testdata/Indentation.yarn-Start-3,one indent if with equal indent line,/Users/kalexmills/repos/personal/yarn/testdata/Indentation.yarn,Start,22
line:/Users/kalexmills/repos/personal/yarn/testdata/Indentation.yarn-Start-4,zero indent line,/Users/kalexmills/repos/personal/yarn/testdata/Indentation.yarn,Start,26
line:/Users/kalexmills/repos/personal/yarn/testdata/Indentation.yarn-Start-5,one indent if with two indent line,/Users/kalexmills/repos/personal/yarn/testdata/Indentation.yarn,Start,28
line:/Users/kalexmills/repos/personal/yarn/testdata/Indentation.yarn-Start-6,zero indent line,/Users/kalexmills/repos/personal/yarn/testdata/Indentation.yarn,Start,32
line:/Users/kalexmills/repos/personal/yarn/testdata/Indentation.yarn-Start-7,one indent line,/Users/kalexmills/repos/personal/yarn/testdata/Indentation.yarn,Start,33
line:/Users/kalexmills/repos/personal/yarn/testdata/Indentation.yarn-Start-8,one indent if with zero indent line and endif,/Users/kalexmills/repos/personal/yarn/testdata/Indentation.yarn,Start,37
line:/Users/kalexmills/repos/personal/yarn/testdata/Indentation.yarn-Start-9,zero indent if with one indent line and endif,/Users/kalexmills/repos/personal/yarn/testdata/Indentation.yarn,Start,42
line:/Users/kalexmills/repos/personal/yarn/testdata/Indentation.yarn-Start-10,zero indent if and line with one indent,/Users/kalexmills/repos/personal/yarn/testdata/Indentation.yarn,Start,47
line:/Users/kalexmills/repos/personal/yarn/testdata/Indentation.yarn-Start-11,one indent if and endif with zero indent line,/Users/kalexmills/repos/personal/yarn/testdata/Indentation.yarn,Start,52
line:/Users/kalexmills/repos/personal/yarn/testdata/Indentation.yarn-Start-12,option with subline,/Users/kalexmills/repos/personal/yarn/testdata/Indentation.yarn,Start,55
line:/Users/kalexmills/repos/personal/yarn/testdata/Indentation.yarn-Start-13,subline,/Users/kalexmills/repos/personal/yarn/testdata/Indentation.yarn,Start,56
line:/Users/kalexmills/repos/personal/yarn/testdata/Indentation.yarn-Start-14,option below blank line,/Users/kalexmills/repos/personal/yarn/testdata/Indentation.yarn,Start,58
