id,text,file,node,lineNumber
line:/Users/kalexmills/repos/personal/yarn/testdata/ShortcutOptions.yarn-Start-0,Option 1,/Users/kalexmills/repos/personal/yarn/testdata/ShortcutOptions.yarn,Start,10
line:/Users/kalexmills/repos/personal/yarn/testdata/ShortcutOptions.yarn-Start-1,This line should appear.,/Users/kalexmills/repos/personal/yarn/testdata/ShortcutOptions.yarn,Start,12
line:/Users/kalexmills/repos/personal/yarn/testdata/ShortcutOptions.yarn-Start-2,Sub Option 1,/Users/kalexmills/repos/personal/yarn/testdata/ShortcutOptions.yarn,Start,13
line:/Users/kalexmills/repos/personal/yarn/testdata/ShortcutOptions.yarn-Start-3,This line should also appear.,/Users/kalexmills/repos/personal/yarn/testdata/ShortcutOptions.yarn,Start,15
line:/Users/kalexmills/repos/personal/yarn/testdata/ShortcutOptions.yarn-Start-4,Sub Option 2,/Users/kalexmills/repos/personal/yarn/testdata/ShortcutOptions.yarn,Start,17
line:/Users/kalexmills/repos/personal/yarn/testdata/ShortcutOptions.yarn-Start-5,Sub Option 3,/Users/kalexmills/repos/personal/yarn/testdata/ShortcutOptions.yarn,Start,18
line:/Users/kalexmills/repos/personal/yarn/testdata/ShortcutOptions.yarn-Start-6,Option 2,/Users/kalexmills/repos/personal/yarn/testdata/ShortcutOptions.yarn,Start,19
line:/Users/kalexmills/repos/personal/yarn/testdata/ShortcutOptions.yarn-Start-7,This line should not appear.,/Users/kalexmills/repos/personal/yarn/testdata/ShortcutOptions.yarn,Start,20
line:/Users/kalexmills/repos/personal/yarn/testdata/ShortcutOptions.yarn-Start-8,Option 3,/Users/kalexmills/repos/personal/yarn/testdata/ShortcutOptions.yarn,Start,21
line:/Users/kalexmills/repos/personal/yarn/testdata/ShortcutOptions.yarn-Start-9,This line should not appear.,/Users/kalexmills/repos/personal/yarn/testdata/ShortcutOptions.yarn,Start,22
line:/Users/kalexmills/repos/personal/yarn/testdata/ShortcutOptions.yarn-Start-10,Bea: line text,/Users/kalexmills/repos/personal/yarn/testdata/ShortcutOptions.yarn,Start,26
line:/Users/kalexmills/repos/personal/yarn/testdata/ShortcutOptions.yarn-Start-11,option1,/Users/kalexmills/repos/personal/yarn/testdata/ShortcutOptions.yarn,Start,27
line:/Users/kalexmills/repos/personal/yarn/testdata/ShortcutOptions.yarn-Start-12,option2,/Users/kalexmills/repos/personal/yarn/testdata/ShortcutOptions.yarn,Start,28
line:/Users/kalexmills/repos/personal/yarn/testdata/ShortcutOptions.yarn-Start-13,Bea: line text2,/Users/kalexmills/repos/personal/yarn/testdata/ShortcutOptions.yarn,Start,29
line:/Users/kalexmills/repos/personal/yarn/testdata/ShortcutOptions.yarn-Start-14,Bea: indented line text,/Users/kalexmills/repos/personal/yarn/testdata/ShortcutOptions.yarn,Start,32
line:/Users/kalexmills/repos/personal/yarn/testdata/ShortcutOptions.yarn-Start-15,indented option1,/Users/kalexmills/repos/personal/yarn/testdata/ShortcutOptions.yarn,Start,33
line:/Users/kalexmills/repos/personal/yarn/testdata/ShortcutOptions.yarn-Start-16,indented option2,/Users/kalexmills/repos/personal/yarn/testdata/ShortcutOptions.yarn,Start,34
line:/Users/kalexmills/repos/personal/yarn/testdata/ShortcutOptions.yarn-Start-17,Bea: indented line text2,/Users/kalexmills/repos/personal/yarn/testdata/ShortcutOptions.yarn,Start,35
line:/Users/kalexmills/repos/personal/yarn/testdata/ShortcutOptions.yarn-Start-18,Bea: line text,/Users/kalexmills/repos/personal/yarn/testdata/ShortcutOptions.yarn,Start,38
line:/Users/kalexmills/repos/personal/yarn/testdata/ShortcutOptions.yarn-Start-19,indented option1 following unindented line,/Users/kalexmills/repos/personal/yarn/testdata/ShortcutOptions.yarn,Start,39
line:/Users/kalexmills/repos/personal/yarn/testdata/ShortcutOptions.yarn-Start-20,indented option2 following unindented line,/Users/kalexmills/repos/personal/yarn/testdata/ShortcutOptions.yarn,Start,40
line:/Users/kalexmills/repos/personal/yarn/testdata/ShortcutOptions.yarn-Start-21,option2.1,/Users/kalexmills/repos/personal/yarn/testdata/ShortcutOptions.yarn,Start,41
line:/Users/kalexmills/repos/personal/yarn/testdata/ShortcutOptions.yarn-Start-22,option2.2,/Users/kalexmills/repos/personal/yarn/testdata/ShortcutOptions.yarn,Start,42
line:/Users/kalexmills/repos/personal/yarn/testdata/ShortcutOptions.yarn-Start-23,option2.3,/Users/kalexmills/repos/personal/yarn/testdata/ShortcutOptions.yarn,Start,43
line:/Users/kalexmills/repos/personal/yarn/testdata/ShortcutOptions.yarn-Start-24,option2.4,/Users/kalexmills/repos/personal/yarn/testdata/ShortcutOptions.yarn,Start,44
line:/Users/kalexmills/repos/personal/yarn/testdata/ShortcutOptions.yarn-Start-25,A,/Users/kalexmills/repos/personal/yarn/testdata/ShortcutOptions.yarn,Start,47
line:/Users/kalexmills/repos/personal/yarn/testdata/ShortcutOptions.yarn-Start-26,B,/Users/kalexmills/repos/personal/yarn/testdata/ShortcutOptions.yarn,Start,48
line:/Users/kalexmills/repos/personal/yarn/testdata/ShortcutOptions.yarn-Start-27,(Break up the options),/Users/kalexmills/repos/personal/yarn/testdata/ShortcutOptions.yarn,Start,50
line:0e8a7ce,Option A,/Users/kalexmills/repos/personal/yarn/testdata/ShortcutOptions.yarn,Start,55
line:0405c66,Option B,/Users/kalexmills/repos/personal/yarn/testdata/ShortcutOptions.yarn,Start,56
line:/Users/kalexmills/repos/personal/yarn/testdata/ShortcutOptions.yarn-Start-30,(Break up the options),/Users/kalexmills/repos/personal/yarn/testdata/ShortcutOptions.yarn,Start,58
line:0e8a7cd,Option A,/Users/kalexmills/repos/personal/yarn/testdata/ShortcutOptions.yarn,Start,61
line:0405c67,Option B,/Users/kalexmills/repos/personal/yarn/testdata/ShortcutOptions.yarn,Start,62
line:/Users/kalexmills/repos/personal/yarn/testdata/ShortcutOptions.yarn-Start-33,(Break up the options),/Users/kalexmills/repos/personal/yarn/testdata/ShortcutOptions.yarn,Start,64
line:/Users/kalexmills/repos/personal/yarn/testdata/ShortcutOptions.yarn-Start-34,Option1,/Users/kalexmills/repos/personal/yarn/testdata/ShortcutOptions.yarn,Start,68
line:/Users/kalexmills/repos/personal/yarn/testdata/ShortcutOptions.yarn-Start-35,Option2,/Users/kalexmills/repos/personal/yarn/testdata/ShortcutOptions.yarn,Start,70
