id,text,file,node,lineNumber
Smileys-Start-0,Mae: ¯\\_(ツ)_/¯,Smileys,Start,6
Smileys-Start-1,Mae: <o>,Smileys,Start,7
Smileys-Start-2,Mae: :|,Smileys,Start,8
Smileys-Start-3,Mae: :),Smileys,Start,9
Smileys-Start-4,Mae: :(,Smileys,Start,10
Smileys-Start-5,Mae: :o,Smileys,Start,11
Smileys-Start-6,Mae: :\\,Smileys,Start,12
Smileys-Start-7,Mae: :<,Smileys,Start,13
Smileys-Start-8,Mae: D:,Smileys,Start,14
Smileys-Start-9,Mae: -_-,Smileys,Start,15
Smileys-Start-10,Mae: =_=,Smileys,Start,16
Smileys-Start-11,Mae: U_U,Smileys,Start,17
Smileys-Start-12,Mae: O_O,Smileys,Start,18
Smileys-Start-13,Mae: o_o,Smileys,Start,19
Smileys-Start-14,Mae: \\o/,Smileys,Start,20
Smileys-Start-15,Mae: /o\\,Smileys,Start,21
Smileys-Start-16,Mae: o/,Smileys,Start,22
Smileys-Start-17,Mae: _o_,Smileys,Start,23
Smileys-Start-18,Mae: o>,Smileys,Start,24
Smileys-Start-19,Mae: / \\,Smileys,Start,25
Smileys-Start-20,Mae: \\ /,Smileys,Start,26
Smileys-Start-21,Mae: ~~,Smileys,Start,27
Smileys-Start-22,Mae: ¯\\_(ツ)_/¯,Smileys,Start,33
Smileys-Start-23,Mae: <o>,Smileys,Start,34
Smileys-Start-24,Mae: :|,Smileys,Start,35
Smileys-Start-25,Mae: :),Smileys,Start,36
Smileys-Start-26,Mae: :(,Smileys,Start,37
Smileys-Start-27,Mae: :o,Smileys,Start,38
Smileys-Start-28,Mae: :\\,Smileys,Start,39
Smileys-Start-29,Mae: :<,Smileys,Start,40
Smileys-Start-30,Mae: D:,Smileys,Start,41
Smileys-Start-31,Mae: -_-,Smileys,Start,42
Smileys-Start-32,Mae: =_=,Smileys,Start,43
Smileys-Start-33,Mae: U_U,Smileys,Start,44
Smileys-Start-34,Mae: O_O,Smileys,Start,45
Smileys-Start-35,Mae: o_o,Smileys,Start,46
Smileys-Start-36,Mae: \\o/,Smileys,Start,47
Smileys-Start-37,Mae: /o\\,Smileys,Start,48
Smileys-Start-38,Mae: o/,Smileys,Start,49
Smileys-Start-39,Mae: _o_,Smileys,Start,50
Smileys-Start-40,Mae: o>,Smileys,Start,51
Smileys-Start-41,Mae: / \\,Smileys,Start,52
Smileys-Start-42,Mae: \\ /,Smileys,Start,53
Smileys-Start-43,Mae: ~~,Smileys,Start,54
Smileys-Start-44,Separating the option groups here.,Smileys,Start,56
Smileys-Start-45,Mae: ¯\\_(ツ)_/¯,Smileys,Start,61
Smileys-Start-46,Mae: <o>,Smileys,Start,62
Smileys-Start-47,Mae: :|,Smileys,Start,63
Smileys-Start-48,Mae: :),Smileys,Start,64
Smileys-Start-49,Mae: :(,Smileys,Start,65
Smileys-Start-50,Mae: :o,Smileys,Start,66
Smileys-Start-51,Mae: :\\,Smileys,Start,67
Smileys-Start-52,Mae: :<,Smileys,Start,68
Smileys-Start-53,Mae: D:,Smileys,Start,69
Smileys-Start-54,Mae: -_-,Smileys,Start,70
Smileys-Start-55,Mae: =_=,Smileys,Start,71
Smileys-Start-56,Mae: U_U,Smileys,Start,72
Smileys-Start-57,Mae: O_O,Smileys,Start,73
Smileys-Start-58,Mae: o_o,Smileys,Start,74
Smileys-Start-59,Mae: \\o/,Smileys,Start,75
Smileys-Start-60,Mae: /o\\,Smileys,Start,76
Smileys-Start-61,Mae: o/,Smileys,Start,77
Smileys-Start-62,Mae: _o_,Smileys,Start,78
Smileys-Start-63,Mae: o>,Smileys,Start,79
Smileys-Start-64,Mae: / \\,Smileys,Start,80
Smileys-Start-65,Mae: \\ /,Smileys,Start,81
Smileys-Start-66,Mae: ~~,Smileys,Start,82
